morphotype	CEL	TSL1	TSL2	TSL3	TSL4	TSL5	TSL6	TSL7	TSL8	TSL9	TSL10	TSL11	TSL12	TSL13	TSL14	TSL15	TSL16	TSL17	TSL18	TSL19	TSL20	TSL21	TSL22	PYL
11	1.7411	0.1526	0.1499	0.1789	0.1578	0.1815	0.1631	0.1578	0.1525	0.1552	0.1341	0.1105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5102
11	1.8862	0.1903	0.1806	0.1976	0.1951	0.2	0.1903	0.2	0.1806	0.1783	0.1614	0.1397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.7541
11	1.6935	0.1364	0.1451	0.1497	0.1627	0.1431	0.1561	0.1628	0.1583	0.1232	0.1298	0.0879	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5696
11	1.6754	0.1554	0.1639	0.1874	0.1809	0.1661	0.1596	0.1767	0.1682	0.1533	0.1448	0.1022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5854
11	1.6691	0.1591	0.1803	0.1654	0.1803	0.1846	0.1739	0.1654	0.1654	0.1548	0.1336	0.1315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.526
12	1.5511	0.1538	0.1538	0.1632	0.1594	0.1594	0.1707	0.15	0.1557	0.1444	0.1144	0.1069	0.0919	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.3769
12	1.714	0.1408	0.1694	0.1854	0.1791	0.1759	0.1791	0.1886	0.1631	0.1503	0.1503	0.1407	0.1183	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5564
12	1.8856	0.1481	0.179	0.1913	0.1697	0.2007	0.1697	0.1913	0.1666	0.1759	0.1388	0.1636	0.1296	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5308
12	1.7655	0.1516	0.1706	0.1895	0.1923	0.1922	0.195	0.1923	0.1705	0.1652	0.1381	0.1544	0.1354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.547
12	1.7516	0.1568	0.1621	0.173	0.1892	0.1784	0.1838	0.1892	0.1811	0.1568	0.1541	0.1324	0.1027	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4785
12	1.8369	0.176	0.1786	0.1679	0.1733	0.184	0.1786	0.176	0.1759	0.1653	0.1387	0.1466	0.12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5599
12	1.7902	0.1675	0.173	0.1812	0.1922	0.1785	0.2059	0.1895	0.1647	0.162	0.1483	0.1455	0.1208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5739
12	1.8478	0.1483	0.1742	0.2031	0.1645	0.1774	0.1806	0.1709	0.1709	0.1483	0.1483	0.129	0.129	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5224
12	1.8325	0.1304	0.169	0.1751	0.1957	0.2014	0.181	0.181	0.166	0.1542	0.1454	0.1363	0.1098	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5275
12	1.7236	0.1567	0.1677	0.1649	0.1759	0.1649	0.165	0.1733	0.1677	0.1346	0.1457	0.1265	0.0988	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5692
12	1.8637	0.1477	0.1705	0.1818	0.1761	0.179	0.2017	0.179	0.1534	0.1648	0.1563	0.1534	0.1165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5653
12	1.7014	0.1831	0.1566	0.1858	0.1857	0.1646	0.1646	0.1645	0.1698	0.1486	0.1539	0.1274	0.1168	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.576
12	1.8834	0.1552	0.1522	0.179	0.1911	0.1732	0.176	0.1909	0.1732	0.1433	0.1461	0.1195	0.1283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.4864
