	"morphotype" "CEL" "TS1" "TS2" "TS3" "TS4" "TS5" "TS6" "TS7" "TS8" "TS9" "TS10" "TS11" "TS12" "TS13" "PYL"
"AMNH-FI-116692" 13 3.7967 0.4703 0.4267 0.4351 0.4316 0.4464 0.4312 0.3842 0.4212 0.3664 0.3698 0.3279 0.2829 0.2515 1.1982
"AMNH-FI-116741" 13 3.4832 0.4301 0.4184 0.3992 0.3999 0.412 0.4034 0.3892 0.366 0.3472 0.3204 0.3089 0.2646 0.2512 1.125
"AMNH-FI-116745" 13 2.5161 0.2615 0.2816 0.2699 0.2887 0.2876 0.2713 0.2644 0.2362 0.2176 0.228 0.1764 0.1832 0.1488 0.587
"AMNH-FI-116746" 13 2.1463 0.2598 0.2265 0.2375 0.2559 0.2523 0.246 0.2171 0.2255 0.1815 0.1856 0.1509 0.1352 0.1407 0.3661
"AMNH-FI-116747" 13 2.7352 0.3308 0.2951 0.2968 0.3237 0.3073 0.2979 0.2777 0.2531 0.2622 0.2351 0.1891 0.1837 0.1808 0.6749
"AMNH-FI-116755" 13 10.7856 1.0352 1.1989 1.3928 1.2764 1.2469 1.4185 1.2335 1.3016 1.2206 1.1415 1.0979 0.9802 0.9564 4.7667
"AMNH-FI-116756" 13 5.0013 0.4761 0.5746 0.5306 0.552 0.5665 0.5705 0.5184 0.5832 0.518 0.4831 0.4457 0.3873 0.3839 1.7445
"AMNH-FI-116757" 13 7.655 0.8368 0.8994 0.8698 0.9466 0.972 0.8855 0.9378 0.8865 0.8851 0.8179 0.7189 0.6708 0.6873 3.0163
"AMNH-FI-116759" 13 6.271 0.7787 0.6867 0.7045 0.7393 0.6886 0.7411 0.687 0.6766 0.6451 0.6352 0.5367 0.5045 0.4743 2.4271
"AMNH-FI-116760" 13 4.0796 0.4555 0.468 0.4799 0.4395 0.4436 0.4678 0.4249 0.4151 0.3679 0.3742 0.3368 0.2899 0.2751 1.2983
"AMNH-FI-116769" 13 3.6275 0.372 0.4378 0.3767 0.4128 0.389 0.4064 0.3639 0.3652 0.3489 0.309 0.2965 0.2599 0.2296 0.9135
"AMNH-FI-116770" 13 3.3277 0.4388 0.3786 0.4289 0.3642 0.3817 0.3573 0.3454 0.3232 0.2965 0.301 0.2585 0.2432 0.2117 0.6933
"AMNH-FI-116775" 13 8.2938 0.8604 0.971 0.9433 0.9089 0.9707 0.9581 0.9157 0.8082 0.9113 0.8723 0.7055 0.8123 0.6499 3.3045
"AMNH-FI-116780" 13 5.9369 0.7011 0.6493 0.6522 0.6657 0.6437 0.6695 0.6216 0.5737 0.6021 0.5146 0.5006 0.4487 0.4032 1.7143
"AMNH-FI-116781" 13 11.442 1.0463 1.2775 1.2868 1.324 1.3733 1.3242 1.3707 1.3566 1.2451 1.242 1.1459 1.0763 1.0114 4.9021
"AMNH-FI-116783" 13 3.919 0.4443 0.3985 0.4058 0.4513 0.3971 0.4325 0.4068 0.4181 0.3579 0.3598 0.3467 0.2956 0.2584 1.1061
"AMNH-FI-116786" 13 9.97 1.1364 1.2226 1.2742 1.2909 1.2226 1.292 1.2843 1.2618 1.0997 1.1142 1.0081 1.0398 0.8659 4.5882
"AMNH-FI-116787" 13 7.4179 0.7374 0.7467 0.8274 0.8566 0.8624 0.7833 0.8526 0.8142 0.7634 0.7142 0.707 0.6503 0.572 2.8349
"AMNH-FI-116798" 13 2.2925 0.3167 0.1581 0.2466 0.2654 0.2623 0.2476 0.2199 0.2274 0.1924 0.1864 0.1662 0.1407 0.1201 0.482
"AMNH-FI-116808" 13 5.9671 0.7396 0.6367 0.6913 0.6581 0.6995 0.6935 0.6473 0.6558 0.5862 0.5852 0.526 0.4547 0.4272 2.198
"AMNH-FI-116809" 13 4.5029 0.512 0.4971 0.4804 0.5292 0.495 0.5078 0.4733 0.4282 0.4566 0.3987 0.3727 0.3603 0.3278 1.4191
"AMNH-FI-116814" 13 7.7924 0.8668 0.8789 0.8603 0.9198 0.876 0.8999 0.981 0.8999 0.8562 0.7603 0.7108 0.6721 0.6305 2.9616
"AMNH-FI-116815" 13 9.7969 1.2287 1.163 1.0652 1.0618 1.1302 1.236 1.2036 1.2237 1.0736 1.1568 1.1112 0.7554 0.8972 4.791
"AMNH-FI-116817" 13 4.1523 0.4853 0.4982 0.4321 0.4405 0.4678 0.4411 0.5145 0.3825 0.4348 0.3535 0.3704 0.301 0.2814 1.4074
"AMNH-FI-116819" 13 6.1111 0.6363 0.6747 0.6541 0.6835 0.7498 0.6549 0.7121 0.6687 0.5801 0.5612 0.558 0.5139 0.4599 2.3305
"AMNH-FI-116820" 13 7.0974 0.7799 0.7257 0.7984 0.8245 0.8219 0.8122 0.825 0.7636 0.7848 0.6961 0.6839 0.626 0.5452 2.7596
"AMNH-FI-116822" 13 5.3532 0.596 0.5539 0.5469 0.6216 0.604 0.6558 0.5708 0.5591 0.4801 0.5043 0.4929 0.4061 0.6319 1.9874
"AMNH-FI-116823" 13 4.9192 0.5396 0.5913 0.5405 0.5859 0.4333 0.5842 0.5389 0.5179 0.5034 0.4744 0.4347 0.3848 0.3755 1.7379
"AMNH-FI-116828" 13 2.2527 0.2595 0.2861 0.2658 0.2649 0.2542 0.2499 0.2263 0.2253 0.1979 0.169 0.1659 0.1414 0.1029 0.4052
"AMNH-FI-116836" 13 3.9532 0.4716 0.4156 0.4285 0.4316 0.4263 0.4226 0.4319 0.4445 0.3586 0.3886 0.3365 0.3136 0.2868 1.3622
"AMNH-FI-116837" 13 2.268 0.2891 0.2629 0.2544 0.2822 0.2536 0.2693 0.2455 0.2091 0.2162 0.1916 0.174 0.1433 0.136 0.5372
"AMNH-FI-116851" 13 5.0527 0.4762 0.5269 0.5221 0.5509 0.5482 0.5627 0.5193 0.5307 0.4968 0.4359 0.4341 0.4313 0.372 1.8057
"AMNH-FI-116853" 13 2.5103 0.276 0.2838 0.2546 0.2753 0.2723 0.2666 0.2517 0.2188 0.2143 0.1979 0.1607 0.1539 0.1419 0.4424
"AMNH-FI-117141" 13 5.0816 0.5244 0.5992 0.5691 0.5947 0.5771 0.571 0.5698 0.5148 0.5113 0.4749 0.4512 0.3834 0.3809 1.8013
"AMNH-FI-117142" 13 4.4952 0.4988 0.4914 0.5222 0.5261 0.5179 0.4939 0.5175 0.4778 0.4707 0.4195 0.396 0.3687 0.328 1.5075
"AMNH-FI-117143" 13 9.0937 0.8377 1.0401 0.9802 1.0578 1.1109 1.14 0.8548 1.0379 0.9818 0.9515 0.9151 0.8122 0.828 3.7531
"AMNH-FI-117145" 13 2.3114 0.3012 0.2656 0.2654 0.2552 0.2574 0.2466 0.2159 0.2304 0.1921 0.1842 0.1541 0.1514 0.1177 0.4524
"AMNH-FI-117151" 13 3.8865 0.5076 0.3953 0.4244 0.4177 0.4585 0.4458 0.4113 0.3913 0.4022 0.3401 0.3396 0.2886 0.2479 1.1667
"AMNH-FI-117152" 13 5.0611 0.5797 0.5521 0.6088 0.5558 0.5579 0.5606 0.5571 0.515 0.5066 0.4411 0.4408 0.3751 0.3706 1.517
"AMNH-FI-117154" 13 3.798 0.3705 0.427 0.4128 0.4455 0.4409 0.4343 0.4095 0.397 0.3832 0.3528 0.3359 0.2957 0.2814 1.3229
"AMNH-FI-117163" 13 2.6867 0.311 0.3104 0.3004 0.3108 0.3112 0.2988 0.2926 0.2812 0.2524 0.2393 0.2059 0.1999 0.1752 0.703
"AMNH-FI-117170" 13 7.3161 0.9166 0.8002 0.8685 0.8415 0.8459 0.8345 0.826 0.8073 0.7749 0.7292 0.6856 0.6173 0.6066 2.8092
"AMNH-FI-117174" 13 4.4462 0.505 0.4915 0.4748 0.5211 0.4677 0.4459 0.5038 0.4486 0.4282 0.4207 0.3631 0.3598 0.3266 1.6097
